,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
true,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,O,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,I-ADR,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,
word,trazodone,is,fun,because,you,get,high,",",slowly,fade,into,sleep,",",then,wake,up,drunk,as,hell,.,,,,,,,,,,
pos,^,V,A,P,O,V,A,",",R,V,P,N,",",R,V,T,A,P,N,",",,,,,,,,,,
true,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,B-ADR,O,O,O,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,
word,crying,randomly,at,nothing,and,everything,.,sigh,.,thank,you,#effexor,#withdrawls,can,you,just,exit,my,system,already,.,,,,,,,,,
pos,V,R,P,N,&,N,",",V,",",V,O,V,N,V,O,R,V,D,N,R,",",,,,,,,,,
true,B-ADR,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,,,,,,,,,
pred,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,
word,only,one,day,in,and,mirtazapine,is,like,fluoxetine,all,over,again,",",it,just,makes,me,so,tiered,,,,,,,,,,,
pos,A,$,N,P,&,^,V,P,V,D,P,R,",",O,R,V,O,R,A,,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,
word,had,a,great,few,hours,on,my,bike,but,exercise,drives,my,#olanzapine,munchies,.,getting,fed,up,with,not,being,able,to,fit,into,summer,wardrobe,,,
pos,V,D,A,A,N,P,D,N,&,N,V,D,N,N,",",V,V,T,P,R,V,A,P,V,P,N,N,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,I-ADR,I-ADR,I-ADR,I-ADR,,,
pred,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,
word,whyyyyy,so,painful,#humira,?,,,,,,,,,,,,,,,,,,,,,,,,,
pos,!,R,A,N,",",,,,,,,,,,,,,,,,,,,,,,,,,
true,O,O,B-ADR,O,O,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,B-ADR,O,O,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
word,or,maybe,that's,the,prozac,ugh,i,need,a,nap,always,,,,,,,,,,,,,,,,,,,
pos,&,R,L,D,N,!,O,V,D,N,R,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,B-ADR,O,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,B-ADR,O,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,
word,debating,on,taking,a,trazodone,and,literally,passing,out,for,the,day,.,,,,,,,,,,,,,,,,,
pos,V,P,V,D,N,&,R,V,T,P,D,N,",",,,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,B-ADR,I-ADR,O,I-ADR,I-ADR,O,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,
word,rt,@fightforfood,:,what,i,lack,in,money,and,personality,",",i,make,up,for,in,paxil,induced,impotency,,,,,,,,,,,
pos,~,@,~,O,O,V,P,N,&,N,",",O,V,T,P,P,^,A,N,,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,
word,@sophiemonk,coz,olanzapine,increases,hunger,strains,u,all,day,dosile,unless,u,get,up,when,ur,accilies,still,wud,n,coffee,5am,fog,frost,,,,,,
pos,@,P,^,V,N,N,O,D,N,V,P,O,V,T,R,L,N,R,V,&,N,$,N,N,,,,,,
true,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,
pred,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,
word,#tysabri,really,takes,it,out,on,me,.,spent,most,of,the,day,sleeping,.,,,,,,,,,,,,,,,
pos,#,R,V,O,T,P,O,",",V,R,P,D,N,V,",",,,,,,,,,,,,,,,
true,O,O,B-ADR,I-ADR,I-ADR,O,O,O,O,O,O,O,O,B-ADR,O,,,,,,,,,,,,,,,
pred,O,O,O,O,B-ADR,O,O,O,O,O,O,I-ADR,I-ADR,I-ADR,O,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
word,just,wondering,why,doctors,prescribe,dangerous,",",addictive,medications,without,any,warning,to,patients,.,paxil,",",for,instance,.,,,,,,,,,,
pos,R,V,R,N,V,A,",",A,N,P,D,N,P,N,",",^,",",P,N,",",,,,,,,,,,
true,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,
word,it,can,get,really,cold,when,you,have,a,halls,lozenge,,,,,,,,,,,,,,,,,,,
pos,O,V,V,R,A,R,O,V,D,N,N,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,B-ADR,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,B-ADR,O,O,O,O,B-ADR,I-ADR,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,
word,gonna,have,to,speak,with,my,psychiatrist,about,stopping,my,olanzapine,its,interfering,with,my,visions,and,it,gives,you,memory,loss,and,more,.,,,,,
pos,V,V,P,V,P,D,N,P,V,D,N,L,V,P,D,N,&,O,V,O,N,N,&,A,",",,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,O,O,O,O,B-ADR,I-ADR,O,O,O,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,O,O,O,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,
word,@mannypresh602,word,.,i've,been,fuckin,tweakin,out,on,vyvanse,and,writing,hella,verses,,,,,,,,,,,,,,,,
pos,@,!,",",L,V,V,V,T,P,^,&,V,D,N,,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,
word,since,quetiapine's,messed,with,my,prolactin,levels,",",making,my,boobs,humungous,&,my,bras,so,expensive,",",i,want,a,lingerie,component,to,dla,.,,,,
pos,P,UNK,V,P,D,N,N,",",V,D,N,N,&,D,N,R,A,",",O,V,D,N,N,P,^,",",,,,
true,O,O,O,O,O,B-ADR,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,
pred,O,O,O,O,O,B-ADR,I-ADR,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,
word,@verlieren,thank,you,!,it,didn't,even,fucking,work,.,i,went,back,to,ziprasidone,but,now,will,never,have,another,orgasm,in,my,life,.,,,,
pos,@,V,O,",",O,V,R,A,N,",",O,V,R,P,V,&,R,V,R,V,D,N,P,D,N,",",,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,O,O,O,O,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,
word,@coolpharmgreg,i,don't,care,if,they,are,toxic,haha,putting,the,cipro,drops,in,is,essentially,equivalent,to,torture,#oww,,,,,,,,,,
pos,@,O,V,V,P,O,V,A,!,V,D,N,V,P,V,R,N,P,V,#,,,,,,,,,,
true,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,
word,i�m,sort,of,nauseous,.,don�t,know,if,it�s,a,side,effect,of,the,viibryd,or,i,need,to,eat,more,or,what,.,unpleasant,.,,,,
pos,L,N,P,A,",",V,V,P,L,D,N,N,P,D,N,&,O,V,P,V,A,&,O,",",A,",",,,,
true,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,
pred,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-ADR,I-ADR,I-ADR,O,O,O,O,O,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,
word,i,have,a,feeling,i'm,not,going,to,go,to,bed,at,all,tonight,.,damn,you,vyvanse,!,,,,,,,,,,,
pos,O,V,D,N,L,R,V,P,V,P,N,P,D,N,",",!,O,V,",",,,,,,,,,,,
true,O,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,I-ADR,I-ADR,O,O,O,O,O,O,O,O,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,
word,@rogerbezanis,:,any,ideas,on,treating,depression,naturally,paxil,is,making,me,gain,unwanted,pounds,and,water,weight...thanks,,,,,,,,,,,,
pos,@,~,D,N,P,V,N,R,^,V,V,O,V,A,N,&,N,N,,,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,B-ADR,I-ADR,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,O,O,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,
word,@bilgeebiri,oh,robitussin,dreams,are,notorious,.,although,what,will,really,turn,'em,into,a,bunuel,movie,is,cipro,.,,,,,,,,,,
pos,@,!,N,N,V,A,",",P,O,V,R,V,O,P,D,A,N,V,N,",",,,,,,,,,,
true,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,
pred,O,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,
word,rt,@mad_in_america,:,my,journey,into,the,dark,night,of,the,soul,was,launched,by,an,adverse,reaction,to,the,drug,effexor,.,taking,this..,.,http,,,
pos,~,@,~,D,N,P,D,A,N,P,D,N,V,V,P,D,A,N,P,D,N,N,",",V,O,",",U,,,
true,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,
pred,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,
word,@adandelionmind,i,had,itchy,skin,at,night,on,venlafaxine,",",i,react,badly,to,insect,bites,too,.,,,,,,,,,,,,
pos,@,O,V,A,N,P,N,P,^,",",O,V,R,P,V,V,R,",",,,,,,,,,,,,
true,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,
pred,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,O,O,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,
word,@thebookgirl985,trazodone,makes,me,hungry,.,prop,my,eyelids,open,with,toothpicks,and,drive,me,to,a,buffet,?,,,,,,,,,,,
pos,@,^,V,O,A,",",V,D,N,V,P,^,&,V,O,P,D,N,",",,,,,,,,,,,
true,O,O,O,O,B-ADR,O,B-ADR,I-ADR,I-ADR,I-ADR,O,O,O,O,O,O,O,O,O,,,,,,,,,,,
pred,O,O,O,O,B-ADR,O,B-ADR,I-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,
word,vyvanse,is,really,taking,its,toll,now,#headache,#anger,,,,,,,,,,,,,,,,,,,,,
pos,^,V,R,V,L,N,R,#,#,,,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,O,B-ADR,I-ADR,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,B-ADR,O,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,
word,day,3,without,#venlafaxine,.,worst,drug,ever,to,withdraw,from,?,any,support,much,appreciated,!,,,,,,,,,,,,,
pos,N,$,P,^,",",A,N,R,P,V,P,",",D,N,A,N,",",,,,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,
word,i,don't,know,whether,my,vyvanse,caused,my,caffeine,addiction,or,caffeine,caused,my,vyvanse,addiction,.,,,,,,,,,,,,,
pos,O,V,V,P,D,N,V,D,N,N,&,N,V,D,N,N,",",,,,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,
word,#quetiapine,is,not,doing,me,any,favors,#ifeelsick,,,,,,,,,,,,,,,,,,,,,,
pos,^,V,R,V,O,D,V,#,,,,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,O,B-ADR,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,
word,i,hate,the,low,after,the,high,on,vyvanse,,,,,,,,,,,,,,,,,,,,,
pos,O,V,D,A,P,D,A,P,N,,,,,,,,,,,,,,,,,,,,,
true,O,O,O,B-ADR,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,B-ADR,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,
word,young,nigga,just,gave,me,a,70mg,vyvanse,",",these,things,can,twerk,me,out,thank,goodness,for,my,script,of,xanax,,,,,,,,
pos,A,N,R,V,O,D,N,N,",",D,N,V,V,O,T,V,^,P,D,N,P,^,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,O,O,O,O,O,O,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,
word,if,your,doctor,prescribes,you,seroquel,off,label,",",they,just,want,you,to,stfu,.,i'm,a,mute,.,,,,,,,,,,
pos,P,D,N,V,O,V,T,N,",",O,R,V,O,P,!,",",L,D,N,",",,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,B-ADR,O,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,
word,@remiamaka,it,wasn't,an,easy,victory,though,.,felt,like,chemo,with,the,cipro,.,as,for,the,heart,",",i,meant,for,study,purposes,.,,,,
pos,@,O,V,D,A,N,P,",",V,P,N,P,D,N,",",P,P,D,N,",",O,V,P,N,N,",",,,,
true,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,
word,scared,of,my,#humira,.,keep,feeling,like,i'm,having,a,heart,attack,or,panic,attack,.,anyone,else,have,these,problems,?,#crohns,#ra,#help,,,,
pos,A,P,D,N,",",V,V,P,L,V,D,N,N,&,N,N,",",N,R,V,D,N,",",#,#,#,,,,
true,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,I-ADR,I-ADR,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,
word,@cardiwithpearls,enjoy,:,),haha,.,i,take,it,+,seroquel,+,klonopin,every,night,for,sleep,.,it,can,make,me,very,loopy,sometimes,!,,,,
pos,@,V,",",",",!,",",O,V,O,&,^,&,V,D,N,P,N,",",O,V,V,O,R,A,R,",",,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,
word,on,a,related,note,:,tysabri,causes,weight,gain,.,as,does,body,pain/inability,to,exercise,.,sigh,.,#fuckms,,,,,,,,,,
pos,P,D,A,N,",",^,V,N,V,",",P,V,N,N,P,N,",",V,",",#,,,,,,,,,,
true,O,O,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,
pred,O,O,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,B-ADR,O,O,O,O,O,O,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,
word,feeling,better,and,much,less,anxious,(i,could,actually,talk,to,people,yesterday),but,the,fluoxetine,makes,me,sooooo,sleepy..,.,,,,,,,,,
pos,V,A,&,R,A,A,O,V,R,V,P,N,N,&,D,^,V,O,R,A,",",,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,
word,@adreamitstrue,things,like,mirtazipine&trazodone,weight,gain,isn't,too,hard,to,mitigate.things,like,valproate,substantially,more,of,an,issue,,,,,,,,,,,,
pos,@,N,P,^,N,V,V,R,A,P,V,P,R,R,A,P,D,N,,,,,,,,,,,,
true,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,
pred,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,
word,being,sick,every,morning,is,getting,really,old,.,not,sure,if,anxiety,or,my,body,getting,used,to,paxil,.,anyone,know,?,,,,,,
pos,V,A,D,N,V,V,R,A,",",R,A,P,N,&,D,N,V,V,P,^,",",N,V,",",,,,,,
true,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,
pred,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,
word,rules,of,prozac,:,1,:,you,can,never,sleep,",",ever,again,.,never,ever,2,:,no,you,may,not,switch,your,brain,off,.,ever,.,3
pos,N,P,^,",",$,",",O,V,R,V,",",R,R,",",R,R,$,",",!,O,V,R,V,D,N,P,",",R,",",$
true,O,O,O,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,I-ADR,I-ADR,O,O,O,O
pred,O,O,O,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
word,wish,it,was,monday...seeing,doctor,tomorrow,&,want,to,see,if,he,has,any,suggestions,for,my,withdrawal,.,#paroxetine,#anxiety,#fedup,,,,,,,,
pos,V,O,V,V,N,N,&,V,P,V,P,O,V,D,N,P,D,N,",",#,#,#,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,B-ADR,O,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,
word,seriously,haven't,ate,one,thing,all,damn,day.,.,#vyvanse,#add,#damn,,,,,,,,,,,,,,,,,,
pos,R,V,V,$,N,D,A,N,",",#,#,#,,,,,,,,,,,,,,,,,,
true,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,
pred,O,O,B-ADR,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,
word,how,do,u,do,it,?,u,got,me,losing,every,breath,.,what,did,u,give,me,to,make,my,heart,beat,out,my,chest,?,#vyvanse,,
pos,R,V,O,V,O,",",O,V,O,V,D,N,",",O,V,O,V,O,P,V,D,N,V,T,D,N,",",#,,
true,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,I-ADR,O,O,,
pred,O,O,O,O,O,O,O,O,O,O,O,I-ADR,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
word,is,it,possible,for,levaquin,to,cause,massive,pain,in,my,joints,?,#medical#query,,,,,,,,,,,,,,,,
pos,V,O,A,P,N,P,V,A,N,P,D,N,",",#,,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,O,O,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,
word,@whiskey_girl33,oh,yuck,.,we,all,have,our,least,favorite,body,fluid,.,mine,is,aerosolized,blood,.,nosebleed,on,xarelto,-eeeew,,,,,,,,
pos,@,!,!,",",O,X,V,D,A,A,N,N,",",O,V,V,N,",",N,P,^,!,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,B-ADR,O,O,O,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,
word,all,this,nicotine,is,going,to,my,head,,,,,,,,,,,,,,,,,,,,,,
pos,X,D,N,V,V,P,D,N,,,,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,
word,@mycuriousmind,not,that,i,ever,noticed,.,i,was,taking,it,with,venlafaxine,",",and,it,definitely,made,me,drowsy,,,,,,,,,,
pos,@,R,O,O,R,V,",",O,V,V,O,P,^,",",&,O,R,V,O,A,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,
word,took,a,percocet,for,my,tooth,.,feel,like,i'm,about,to,die,cause,of,the,prozac,thats,already,in,my,system,.,apparently,you,can't,take,both,.,fml
pos,V,D,N,P,D,N,",",V,P,L,P,P,V,P,P,D,N,L,R,P,D,N,",",R,O,V,V,O,",",!
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,O
pred,O,O,O,O,O,B-ADR,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
word,packing,whilst,experiencing,venlafaxine,withdrawal,is,pretty,hellish,.,got,to,keep,track,of,my,med,times,.,,,,,,,,,,,,
pos,V,P,V,N,N,V,R,A,",",V,P,V,N,P,D,N,N,",",,,,,,,,,,,,
true,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,
pred,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,
word,brb,",",dying,of,nicotine,withdrawal,.,,,,,,,,,,,,,,,,,,,,,,,
pos,!,",",V,P,N,N,",",,,,,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,O,B-ADR,O,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,B-ADR,O,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,
word,not,hungry,but,eating,anyway,.,thank,you,quetiapine,you,utter,cunt,.,,,,,,,,,,,,,,,,,
pos,R,A,&,V,R,",",V,O,V,O,A,N,",",,,,,,,,,,,,,,,,,
true,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,
pred,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,
